"","time","A1","A2","A3","A4","A5","A6","F1","F2","F3","F4","F5","F6","L2","L3","L5","L6","L8","L9","blank"
"88",21.75,0.296425,0.30205,0.3046,0.306925,0.31565,0.3147,0.274125,0.2797,0.282375,0.276975,0.283375,0.2857,0.2773,0.27655,0.27805,0.276625,0.2742,0.285,0.0873208333333333
"89",22,0.2965,0.301225,0.305725,0.306725,0.3151,0.31485,0.27375,0.279375,0.28195,0.276175,0.2827,0.2849,0.277425,0.276275,0.277325,0.27545,0.2736,0.2846,0.0874375
"90",22.25,0.296275,0.30105,0.305125,0.3063,0.314325,0.314275,0.273,0.27915,0.2818,0.2768,0.28265,0.28445,0.276675,0.2756,0.27705,0.275175,0.2732,0.2832,0.0872625
"91",22.5,0.295875,0.300675,0.304475,0.3066,0.3137,0.313425,0.273125,0.277825,0.280575,0.2756,0.281875,0.284125,0.27645,0.2752,0.276475,0.274575,0.272975,0.2811,0.08745
"92",22.75,0.2955,0.30085,0.30365,0.305625,0.313375,0.313375,0.27255,0.2783,0.281325,0.275475,0.282025,0.2836,0.2761,0.274875,0.275925,0.274125,0.27235,0.28205,0.0873625
"93",23,0.2949,0.299525,0.303275,0.305825,0.3131,0.312625,0.271675,0.2772,0.2804,0.274975,0.28105,0.283075,0.2752,0.27425,0.275575,0.27415,0.272275,0.281675,0.0877083333333333
"94",23.25,0.2939,0.2994,0.303125,0.3053,0.312775,0.3122,0.2711,0.2774,0.280625,0.2745,0.280775,0.282725,0.27435,0.273275,0.275125,0.274025,0.271875,0.282575,0.0874208333333333
"95",23.5,0.293925,0.29995,0.303475,0.304625,0.31245,0.31315,0.27095,0.27715,0.27945,0.2746,0.2806,0.282325,0.27435,0.273425,0.274925,0.273675,0.271625,0.281925,0.0875166666666667
"96",23.75,0.293525,0.2986,0.302025,0.304325,0.312,0.3116,0.2704,0.276775,0.27935,0.274425,0.279925,0.281625,0.274025,0.273075,0.274225,0.27285,0.27075,0.28155,0.087375
"97",24,0.2934,0.2982,0.301975,0.303825,0.312325,0.312025,0.2698,0.27595,0.279425,0.2734,0.28,0.281125,0.273475,0.272825,0.274425,0.272725,0.271025,0.28075,0.0875458333333333
